goos: linux
goarch: amd64
pkg: github.com/koykov/dyntpl
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkTpl/conditionLC-8         	 5914556	       198.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 5958613	       205.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 5419273	       204.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 6059778	       198.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 6009591	       195.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 5976841	       201.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2333895	       524.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2140909	       590.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2223320	       640.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 1708334	       644.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2103325	       531.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2309301	       551.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2206459	       560.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2313046	       524.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2294042	       525.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2293561	       527.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  476289	      3130 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  463804	      2368 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  510463	      2325 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  506282	      2339 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  467152	      2479 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  462930	      2450 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  490417	      2493 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  476660	      2382 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  502171	      2352 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  520122	      2278 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 9818823	       122.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 8121698	       163.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 8970156	       133.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 8920828	       123.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 9787088	       124.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 9793989	       122.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 9777037	       135.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 8032057	       137.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 9801240	       123.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 9706436	       120.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1536313	       793.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1000000	      1237 ns/op	       0 B/op	       0 allocs/op
